Project_Name;Project_URL;Project_Hash;non-order-dependent;not flaky;order-dependent;infrastructure flaky
fossor;https://github.com/linkedin/fossor;d8dbdc40f2f16da601c317dfa74b83e3932c9bb3;46;2;17;0
freegs;https://github.com/bendudson/freegs;87bc845a8c1f4f48249c6fd930bc97b436468dd2;3;39;0;0
fuzzylogic;https://github.com/amogorkon/fuzzylogic;58bd23aeb4b6bf39bd950bcf468b0c2f5c649e69;2;56;0;0
gamble.git;https://github.com/jpetrucciani/gamble.git;d17b25899183a4c4b25fe644024ff754132ae513;1;13;0;0
get-wayback-machine;https://github.com/jfilter/get-wayback-machine;ae52b3f2d1dc74dc4e356f412361727e975c6771;1;1;0;0
git-profiles;https://github.com/popadi/git-profiles;ca20173f63f57c21868c4c49c1e5c515d4bc87fd;2;16;0;0
google-play-scraper;https://github.com/JoMingyu/google-play-scraper;24f715446dedea01461ef71244795973ce673f38;2;16;0;1
grip;https://github.com/joeyespo/grip;27a4d6d87ea1d0ea7f7f120de55baabee3de73e3;2;23;0;0
gwopensci;https://github.com/duncanmmacleod/gwopensci;06b56ce506fda3af4857c8a1aae7bb60fb1925e9;1;70;0;0
gwosc;https://github.com/gwpy/gwosc;06b56ce506fda3af4857c8a1aae7bb60fb1925e9;2;69;0;0
hack-requests;https://github.com/boy-hack/hack-requests;f78ebc36edb08308222b00239850cefe87c77fb6;1;7;2;0
hawaiio.git;https://github.com/florimondmanca/hawaiio.git;4a8005d216b29e2f462be00c9285776651d0fa2b;2;8;0;0
helpers;https://github.com/infosmith/helpers;72c40cf1d1a46875f2956e8827a55d4232db48cb;1;34;0;0
hessianfree;https://github.com/drasmuss/hessianfree;4517bb1826253f712f539ff275a5d35f50312714;5;25;2;0
hockey-scraper;https://github.com/HarryShomer/Hockey-Scraper;a829e0a0fe4bf548109863031ea9987abc0219a0;4;38;0;0
homog;https://github.com/willsheffler/homog;5b49902ff3dea972f2c466abe7937546b50ee9f1;1;35;0;0
hostopen;https://github.com/jaketreacher/hostopen;b1c8269aff13d4c2ec336cc8f366f42260c4e943;1;5;0;0
http-tracer;https://github.com/danielmichaels/http-tracer;aa1f6c7944caa71efc3b77acc73069701074b29f;1;5;0;0
humansort;https://github.com/coreygirard/humansort;270c4ec6f239173e51f05e2d7f514697fdbbb445;1;2;0;0
hypothesis_sqlalchemy;https://github.com/lycantropos/hypothesis_sqlalchemy;6c68a065802d5efdfa3d805d9e4a79199ab46ea3;4;15;0;0
irritable;https://github.com/timb07/irritable;6d250dd716890b7b78b2b42e2f04be3058b09856;1;2;0;0
jgutils;https://github.com/jerodg/jgutils;6c8ed6aca37d509af8ce1b57635fad62f1c846b4;1;30;1;0
jinja2-github;https://github.com/jcfr/jinja2-github;4012e5f87ea4b53d2eee406f91cf6738008636a0;1;0;1;0
joblib;https://github.com/joblib/joblib;440b1b899d357a9db6526ca87051a77963b33631;3;223;968;26
keplertools;https://github.com/dsavransky/keplertools;8a46aea897a7cd584c4c2afa1e5ea160f47aef6e;3;11;0;0
kevinarpe-rambutan3;https://github.com/kevinarpe/kevinarpe-rambutan3;5d7469912b559338dc15f5c7fb2abc91103ea0c5;1;188;1;0
kindle-maker;https://github.com/jachinlin/kindle_maker;5c478bdaf3cb7d2e824f21462e72543d15c6cc95;1;5;0;0
knit;https://github.com/dask/knit;934aee7012967453b7343f6e01f16b26aece2aaf;4;30;0;0
knit;https://github.com/dask/knit/;934aee7012967453b7343f6e01f16b26aece2aaf;4;30;0;0
langsplit;https://github.com/mindey/langsplit;d30d47bd6f73852dc716f1e79225d8d49dc39daa;2;9;0;0
levitate;https://github.com/AppliedAcousticsChalmers/levitate;f6b2b2666e82bbff0ef5664aa687bb87876467cb;4;1841;1;0
limix-lmm;https://github.com/limix/limix-lmm;0f0a9875e6d0ed0511db54c911992332b76baa13;1;4;0;0
lineflow;https://github.com/yasufumy/lineflow;677ed8ba2374f084d58864c2027a7d0245e8f198;4;144;27;0
mgun;https://github.com/maximdanilchenko/mgun;11540dd661afd2e8a18dd74ca0a5b416f671a4a1;3;32;1;0
mpesa-py;https://github.com/Arlus/mpesa-py;2844ac9c1dea57507808b0d65f3e134238adc5bb;7;1;2;0
music-dl;https://github.com/0xHJK/music-dl;883b643d62c63496572f5b883f76359324a5c853;1;11;0;0
mxnet-octave-conv;https://github.com/CyberZHG/mxnet-octave-conv;5bbe5aa0cc6f43f242cb4a656495df70e3198f1b;3;0;0;0
nats.py;https://github.com/nats-io/nats.py;b77bd2be28296fd4e1db9082f634bb80c7690b29;1;82;0;0
nnweaver;https://github.com/gvinciguerra/nnweaver;e7a94d743f6eb118592524e30f54cda22cdc5e81;2;27;0;0
noipy;https://github.com/povieira/noipy;c35add5386b57547c5a72650145a267dc88fa77e;3;20;1;0
noisyopt;https://github.com/andim/noisyopt;625b874918ac5926c3bf05d869e914cbddfffe20;1;5;0;0
nxviz;https://github.com/ericmjl/nxviz;d2a2a622e834148a9f4337dbe1021a05c5f18548;1;36;1;0
override;https://github.com/davidhyman/override;e34bd3c8676233439de5c002367b3bff5c1b88d6;1;4;0;0
packeteer;https://github.com/lungdart/packeteer;2c6e0e8683462e17ff095a89f13a10daf29ef9e0;3;47;0;0
pandas-datareader;https://github.com/pydata/pandas-datareader;d2ef4e62e584d87f424749ff7ecd28af64cc9e53;5;167;2;2
parso;https://github.com/davidhalter/parso;6ae0efa415c9790000dba70f87e6ece20d6a4101;2;1210;1;0
pelicun;https://github.com/NHERI-SimCenter/pelicun;29a3d61b9d38debfc115ce03a674a33642773ec5;8;73;0;1
pif;https://github.com/barseghyanartur/pif;6c21477af3e0ce39b5ddb41459d72f80e8d76fb4;1;5;1;0
piripherals;https://github.com/quantenschaum/piripherals;74e4807a64363e3c95a03222fa250a1073387eaf;2;78;5;0
plcx;https://github.com/Cognexa/plcx;2756c0ba78c4c9e572d95ba002708957bc55d4fa;1;75;7;0
poio-lib;https://github.com/Poio-NLP/poio-lib;2af55c863593511dbcf4c611c9265072022d8cdb;4;1;13;0
proxipy;https://github.com/sttlr/proxipy;f9b08d8f3fc7dd0089b6c2fbe83d2671dc51472d;2;12;4;0
ptemcee;https://github.com/willvousden/ptemcee;a411be2e29e39585212c92acea1893f955aa9be8;2;8;0;0
py-KISSmetrics;https://github.com/kissmetrics/py-KISSmetrics;11cfc589e623f0bab8bc450f6fd169715544e377;3;47;0;0
py-finstmt;https://github.com/whoopnip/py-finstmt;820407a87f03377072b545923febd1086def1bec;2;13;0;0
py2pack;https://github.com/openSUSE/py2pack;9c6f8eb3fd5d481aecbe4091ca0974e5a077db48;3;41;3;0
pyalcs;https://github.com/ParrotPrediction/pyalcs;7e5249a1df11efd71508f82330919b13def8647e;1;456;0;0
pybl3p;https://github.com/gijzelaerr/pybl3p;98c102c02cb93803ee47941a48a8aa8d62fa4d6c;2;10;0;0
pybnn;https://github.com/automl/pybnn;6bd277421b83f882fa43d8dad2b7851b9682aa4b;2;20;0;0
pycep-correios;https://github.com/mstuttgart/pycep-correios;44fd6a1ede24d6215afa573a9faa2f0db58bad25;2;9;0;0
pycoin;https://github.com/helenagu01/pycoin;d98f70ff67c836d180032cb6f7a7491a81cfd2eb;1;1774;0;0
pycoin;https://github.com/richardkiss/pycoin;7450398576ccdd1fcc071144c59a57c2155688c5;3;1804;0;0
pydrobert-speech;https://github.com/sdrobert/pydrobert-speech;ed023518408034c2ed1c77c938f0f379d476b121;1;737;0;0
pyfilm.git;https://github.com/ferdinandvwyk/pyfilm.git;20688f59536c713650516f09e1873fcb5b506a17;1;22;0;0
pyflightdata;https://github.com/supercoderz/pyflightdata;ae59893f58f8bd1630c1c8f1ab9d388bbd72ee71;1;56;0;0
pygsheets;https://github.com/nithinmurali/pygsheets;01b9548dd56b50fa93e4a92ab879b048ae282158;55;5;0;0
pykew;https://github.com/RBGKew/pykew;557c1852ad7a4366467e344e7a46b42549ce8694;1;19;0;0
pylabeledrf;https://github.com/dessimozlab/pylabeledrf;23e2c2b2c73d35b6c87dd332b45da8d31c0ea63f;2;0;0;0
pymannkendall;https://github.com/mmhs013/pymannkendall;081a1dec1456b682f0f86488b50d47f9f97ec9dd;1;13;0;0
pymemorydb;https://github.com/davidbetz/pymemorydb;9c8e864957d6fe754539601fd67a7b802b5ceb35;1;46;0;0
pympesa;https://github.com/TralahM/pympesa;46839de00a868db0e674c6733d5daaf83293f588;9;1;0;0
pypfm;https://github.com/Wats0ns/pypfm;78cccd19d7dbc73e54f8ae915c8a9a36310a8950;1;3;0;0
pyrieef;https://github.com/humans-to-robots-motion/pyrieef;73a82d3250db8b48a1602bd5422bb3902fc11e57;3;108;3;0
pysshutil;https://github.com/choppsv1/pysshutil;e3ab876ed7b76637e6f5a0870cd41ea1f3d47fdb;1;56;0;0
python-matlab-functions;https://github.com/fzyukio/python-matlab-functions;2860bf48f904d546af75143c531750c8857670bc;2;2;0;0
python-protobix;https://github.com/jbfavre/python-protobix;96b7095a9c2485c9e1bdba098b7d82b93f91acb1;2;96;0;0
python-sdk;https://github.com/configcat/python-sdk;c1b06e5f6bb734f89be24ef85ad0577f2cc26033;5;64;3;0
python-timemarker;https://github.com/davidr/python-timemarker;16fc4d4f9d6b534b94005169c977ed143f4f9dc5;1;7;0;0
python-xrpc;https://github.com/andreycizov/python-xrpc;ed403ae74d5e89e0ebac68bcc58591d6b32742ff;4;97;1;0
python_filmaffinity;https://github.com/sergiormb/python_filmaffinity;b8042de57e95f38a1c767a84ba77cc74f70a1e2c;1;21;0;0
pytsmp;https://github.com/kithomak/pytsmp;15d58a39e016100fb44cdcc9f6115fa7736eb2bb;2;104;0;0
pyvesync;https://github.com/markperdue/pyvesync;4a43bad8a7b9d3b2e7f580f1f3739f27a00bdc2b;1;98;0;0
pyvesync_v2;https://github.com/webdjoe/pyvesync_v2;a5677b0599912fbc6dcc6604b0342e1edec92de1;1;98;0;0
pywsl;https://github.com/t-sakai-kure/pywsl;79a5bf104a53cb6d3498918e435bd88ac5331543;2;17;0;0
r_map;https://github.com/mentaal/r_map;56cad81c91153d81e831d6afa49b92e5117c2171;1;65;0;0
raincoat;https://github.com/novafloss/raincoat;ac524553805317f2200520d2548d950668352eee;1;135;0;0
reframe;https://github.com/eth-cscs/reframe;576eb3f1dcc015d1e6d7a10602c748d4f810da68;3;537;196;0
rockhound;https://github.com/fatiando/rockhound;c4d84b2628c4b0dd666ceb1b334647489fe85f17;1;16;1;0
rs3clans.py;https://github.com/johnvictorfs/rs3clans.py;692ffb859d954a304d039a6e20cc39bc55ed13cb;25;8;3;0
rtv-downloader;https://github.com/radzak/rtv-downloader;b9114b7f4c35fabe6ec9ad1764a65858667a866e;2;64;0;2
ruTS;https://github.com/SergeyShk/ruTS;af02f627d9022f0f4825d9bed4ffc97d3d329f2d;1;111;1;0
scikit-procrustes;https://github.com/melissawm/skprocrustes;05b6fd4fcc6cb0d7b8d1115dc562a0f8f7e227b2;4;96;1;0
service-manager;https://github.com/hmrc/service-manager;e0a9f2a08e139e23d8a1199a2208b4f5a355a0be;2;55;0;0
setigen;https://github.com/bbrzycki/setigen;30acd4645896d07c660be2ba00542f64b5c64316;2;8;0;0
sida;https://github.com/liusida/sida;77635d2b08c87612330db8612b70ee85c0d57268;1;7;0;1
sigpy;https://github.com/mikgroup/sigpy;3786765ad055dc246fba726306d6dd6a6984a458;1;153;0;0
sporco;https://github.com/bwohlberg/sporco;efd9237ec0d254e2ff630ad0ac17eb8dc566c586;149;13;244;0
spreading_dye_sampler;https://github.com/NLeSC/spreading_dye_sampler;4282f7609959a31d1b2a4832f3ed643b15c46cb6;1;4;0;0
streamstats;https://github.com/earthlab/streamstats;812bf263a25c87fd26eca09f81d78ff35b48d1c4;5;3;0;0
svp;https://github.com/joshmgrant/svp;fdf64445d8038b4df5ab2181eb6306d56e3b5162;8;0;0;0
threadedprocess;https://github.com/nilp0inter/threadedprocess;0120d6e795782c9f527397490846cd214d9196e1;1;5;0;0
torch-embed-sim;https://github.com/CyberZHG/torch-embed-sim;ace404f9cca0d47aa3efcf4e819bcd48899e4e35;1;1;0;0
torch-gpt-2;https://github.com/CyberZHG/torch-gpt-2;92dd7ab7f83630500805ebf0c647f3fb940ca3ab;1;7;0;0
torch-layer-normalization;https://github.com/CyberZHG/torch-layer-normalization;89f405b60f53f85da6f03fe685c190ef394ce50c;1;5;0;0
travispy;https://github.com/menegazzo/travispy;54b6974c98be7cab5f8129bb49fa96e20fef31af;1;25;3;0
uhashring;https://github.com/ultrabug/uhashring;e45d6a7a2556e73c5a2c07f2f07ac76f8c22aca3;1;19;0;0
vault-dev;https://github.com/vimc/vault-dev;ccec5a246e4c05358a57fb68d821a16910d2a125;1;12;0;0
webdriver_manager;https://github.com/SergeyPirogov/webdriver_manager;82b4657acc02ab7b3977acc26cfc62ffede8dedc;1;29;12;8
webssh;https://github.com/huashengdun/webssh;51d527fe75a62aed239126a6697749a30baecb30;1;60;28;0
weibo-scraper;https://github.com/Xarrow/weibo-scraper;8d1ffc9060ae7ddba217093c23ab8111f9b351c8;8;4;2;0
wellpathpy;https://github.com/Zabamund/wellpathpy;f29b14a9a1c46e77ea98b141e3cdc43674654ea2;2;110;1;0
wiki-futures;https://github.com/AndrewRPorter/wiki-futures;ae6bec3aafa7c2b881b2653eae1eb528f9b63bc7;1;5;0;0
wopmars;https://github.com/aitgon/wopmars;33680f94163d82ce43557cf7f87a5f9ead496fdc;1;51;2;0
words-to-regular-expression;https://github.com/radeklat/words-to-regular-expression;6be1a3846f4bc07a2264b72d1e1ee031c605bac7;5;34;0;0
wqio;https://github.com/Geosyntec/wqio;8fcd57cc8b8365208eeee0162438307db0ca0dbb;2;678;2;4
yahooquery;https://github.com/dpguthrie/yahooquery;ff9c062222d59b3d9f8abfaeeb706cd7af8fe690;4;479;11;0
yapconf;https://github.com/loganasherjones/yapconf;f685ed6a6f532a8f836deb205fc2509e9422329b;1;238;0;0
