Project_Name,Project_URL,Project_Hash,PYPI_TAG,func_to_trace,tests_to_run,num_runs,source
cloudnetpy,https://github.com/tukiains/cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,,,,20.0,flapy_input_flakyProj_2020.csv
lineflow,https://github.com/yasufumy/lineflow,677ed8ba2374f084d58864c2027a7d0245e8f198,,,,20.0,flapy_input_flakyProj_2020.csv
sandman,https://github.com/jeffknupp/sandman,253ea4d15cbccd9f0016d66fedd7478614cc0b2f,,,,20.0,flapy_input_flakyProj_2020.csv
transliterate,https://github.com/barseghyanartur/transliterate,9333f242df3f97c1780c4c117f080007f833b69e,,,,20.0,flapy_input_flakyProj_2020.csv
easypy,https://github.com/weka-io/easypy,9501c3ee03dcb1630e58cbb73b1647056907bcea,,,,20.0,flapy_input_flakyProj_2020.csv
SNData,https://github.com/djperrefort/SNData,e4854f0dc357484b437b15f9dac15f7c589eff58,,,,20.0,flapy_input_flakyProj_2020.csv
centreon-sdk-python,https://github.com/guillaumewatteeux/centreon-sdk-python,9f207d5458afc3304e24f16988069467b19eab81,,,,20.0,flapy_input_flakyProj_2020.csv
pymedoo,https://github.com/pwwang/pymedoo,e4fa7572e3f1f0365cdc409042c27324105f9768,,,,20.0,flapy_input_flakyProj_2020.csv
crom,https://github.com/thegetty/crom,98bb6be4e32b4c81eb7e0b5e841a915b015abaf0,,,,20.0,flapy_input_flakyProj_2020.csv
geosci-labs,https://github.com/geoscixyz/geosci-labs,f3e5bb92fc60879816d7c1c8f71847561b65b81b,,,,20.0,flapy_input_flakyProj_2020.csv
ontobio,https://github.com/biolink/ontobio,ade3d89729bce16e39073ede2c0f253f309dc299,,,,20.0,flapy_input_flakyProj_2020.csv
pymq,https://github.com/thrau/pymq,101857bca2b705c328d3bda3b26797b51e8ffb70,,,,20.0,flapy_input_flakyProj_2020.csv
region_cache,https://github.com/Teamworksapp/region_cache,8b2ae3ce4bb348c23a84d5fec546609e80579b94,,,,20.0,flapy_input_flakyProj_2020.csv
mbed-cli,https://github.com/ARMmbed/mbed-cli,8c0256e0ce96707cbd703ec7bed25f2af0df331b,,,,20.0,flapy_input_flakyProj_2020.csv
selenium-wire,https://github.com/wkeeling/selenium-wire,f80339bc2da0485fbba4165375c009b90efdb3c2,,,,20.0,flapy_input_flakyProj_2020.csv
rewardify-base.git,https://github.com/the16thpythonist/rewardify-base.git,4740ec78b22fb6b9d1a62697c8592e5830a38ac6,,,,20.0,flapy_input_flakyProj_2020.csv
wkr.py,https://github.com/wroberts/wkr.py,dbb3c1742c10bfaf697fa276d2cc8885e144ab43,,,,20.0,flapy_input_flakyProj_2020.csv
nipype,https://github.com/nipy/nipype,f2a2034c5198d955318d76163dee9562314d1eb0,,,,20.0,flapy_input_flakyProj_2020.csv
scrapbook,https://github.com/nteract/scrapbook,f681427fcc721e303e3d21fb3974b3bfa43d5445,,,,20.0,flapy_input_flakyProj_2020.csv
pyccc,https://github.com/autodesk/pyccc,011698e78d49a83ac332e0578a4a2a865b75ef8d,,,,20.0,flapy_input_flakyProj_2020.csv
webssh,https://github.com/huashengdun/webssh,51d527fe75a62aed239126a6697749a30baecb30,,,,20.0,flapy_input_flakyProj_2020.csv
gwopensci,https://github.com/duncanmmacleod/gwopensci,06b56ce506fda3af4857c8a1aae7bb60fb1925e9,,,,20.0,flapy_input_flakyProj_2020.csv
etaprogress,https://github.com/Robpol86/etaprogress,224e8a248c2bf820bad218763281914ad3983fff,,,,20.0,flapy_input_flakyProj_2020.csv
pykicad,https://github.com/dvc94ch/pykicad,cdebcaeb4ab6c8903ebecfd0748f826ea406923f,,,,20.0,flapy_input_flakyProj_2020.csv
rs3clans.py,https://github.com/johnvictorfs/rs3clans.py,692ffb859d954a304d039a6e20cc39bc55ed13cb,,,,20.0,flapy_input_flakyProj_2020.csv
saga,https://github.com/saga-vcs/saga,7beaae8831696ce813aa85620387e416719198db,,,,20.0,flapy_input_flakyProj_2020.csv
Flask-Multi-Redis,https://github.com/max-k/flask-multi-redis,fa781d3598448a6429309a686de9a8adb53f9f34,,,,20.0,flapy_input_flakyProj_2020.csv
dynastes,https://github.com/dynastes-team/dynastes,931b6d9ac83862eb39c2f5144c95b952e9efcd8e,,,,20.0,flapy_input_flakyProj_2020.csv
airflow_xplenty,https://github.com/apartmentlist/airflow_xplenty,445c21782b985bfdbfffa4608a1dc90411af8aed,,,,20.0,flapy_input_flakyProj_2020.csv
puppetboard,https://github.com/voxpupuli/puppetboard,974c51ad6c08d99662ba013789565f63cd431b03,,,,20.0,flapy_input_flakyProj_2020.csv
